dataset,condition,candidate_step1_ratio,committed_step1_ratio,candidate_to_committed_ratio,source_member
ag_news,buggy_failfast_guard,10.991920611163897,10.991920611163897,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_failfast_guard_seed123_early_logs.json
ag_news,buggy_failfast_guard,11.004383542847531,11.004383542847531,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_failfast_guard_seed42_early_logs.json
ag_news,buggy_failfast_guard,10.998500859253104,10.998500859253104,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_failfast_guard_seed456_early_logs.json
ag_news,buggy_no_guard,10.991920611163897,10.991920611163897,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_no_guard_seed123_early_logs.json
ag_news,buggy_no_guard,11.004383542847531,11.004383542847531,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_no_guard_seed42_early_logs.json
ag_news,buggy_no_guard,10.998500859253104,10.998500859253104,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_no_guard_seed456_early_logs.json
ag_news,buggy_rescue_guard,10.991920611163897,9.604655882930696e-07,11444366.924897991,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_rescue_guard_seed123_early_logs.json
ag_news,buggy_rescue_guard,11.004383542847531,9.61532820572548e-07,11444626.02565655,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_rescue_guard_seed42_early_logs.json
ag_news,buggy_rescue_guard,10.998500859253104,9.610238083566576e-07,11444566.475476239,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_rescue_guard_seed456_early_logs.json
ag_news,single_bad_first_step_then_stable,10.991920611163897,10.991920611163897,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_single_bad_first_step_then_stable_seed123_early_logs.json
ag_news,single_bad_first_step_then_stable,11.004383542847531,11.004383542847531,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_single_bad_first_step_then_stable_seed42_early_logs.json
ag_news,single_bad_first_step_then_stable,10.998500859253104,10.998500859253104,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_single_bad_first_step_then_stable_seed456_early_logs.json
ag_news,buggy_failfast_guard,5.076113987968168,5.076113987968168,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_failfast_guard_seed123_early_logs.json
ag_news,buggy_failfast_guard,5.100825329224488,5.100825329224488,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_failfast_guard_seed42_early_logs.json
ag_news,buggy_failfast_guard,5.095492677053694,5.095492677053694,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_failfast_guard_seed456_early_logs.json
ag_news,buggy_no_guard,5.076113987968168,5.076113987968168,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_no_guard_seed123_early_logs.json
ag_news,buggy_no_guard,5.100825329224488,5.100825329224488,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_no_guard_seed42_early_logs.json
ag_news,buggy_no_guard,5.095492677053694,5.095492677053694,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_no_guard_seed456_early_logs.json
ag_news,buggy_rescue_guard,5.076113987968168,6.282743546757413e-07,8079454.3819761695,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_rescue_guard_seed123_early_logs.json
ag_news,buggy_rescue_guard,5.100825329224488,6.313328298489665e-07,8079455.222445436,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_rescue_guard_seed42_early_logs.json
ag_news,buggy_rescue_guard,5.095492677053694,6.306796689501647e-07,8079367.27298614,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_buggy_rescue_guard_seed456_early_logs.json
ag_news,single_bad_first_step_then_stable,5.076113987968168,5.076113987968168,1.0,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_single_bad_first_step_then_stable_seed123_early_logs.json
