dataset,model,condition,seed,candidate_lr,intended_lr,candidate_to_intended_lr_ratio,lr_abs_error,lr_assertion_violation,candidate_update_ratio,threshold,update_guard_violation,source_member
ag_news,large-6,buggy_failfast_guard,42,1.0,8.734640537108554e-08,11448668.044798924,0.9999999126535947,True,11.004383542847531,0.0003029599770822081,True,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_failfast_guard_seed42_early_logs.json
ag_news,large-6,buggy_failfast_guard,123,1.0,8.734640537108554e-08,11448668.044798924,0.9999999126535947,True,10.991920611163897,0.0003029599770822081,True,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_failfast_guard_seed123_early_logs.json
ag_news,large-6,buggy_failfast_guard,456,1.0,8.734640537108554e-08,11448668.044798924,0.9999999126535947,True,10.998500859253104,0.0003029599770822081,True,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_failfast_guard_seed456_early_logs.json
ag_news,large-6,buggy_no_guard,42,1.0,8.734640537108554e-08,11448668.044798924,0.9999999126535947,True,11.004383542847531,0.0003029599770822081,True,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_no_guard_seed42_early_logs.json
ag_news,large-6,buggy_no_guard,123,1.0,8.734640537108554e-08,11448668.044798924,0.9999999126535947,True,10.991920611163897,0.0003029599770822081,True,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_no_guard_seed123_early_logs.json
ag_news,large-6,buggy_no_guard,456,1.0,8.734640537108554e-08,11448668.044798924,0.9999999126535947,True,10.998500859253104,0.0003029599770822081,True,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_no_guard_seed456_early_logs.json
ag_news,large-6,buggy_rescue_guard,42,1.0,8.734640537108554e-08,11448668.044798924,0.9999999126535947,True,11.004383542847531,0.0003029599770822081,True,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_rescue_guard_seed42_early_logs.json
ag_news,large-6,buggy_rescue_guard,123,1.0,8.734640537108554e-08,11448668.044798924,0.9999999126535947,True,10.991920611163897,0.0003029599770822081,True,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_rescue_guard_seed123_early_logs.json
ag_news,large-6,buggy_rescue_guard,456,1.0,8.734640537108554e-08,11448668.044798924,0.9999999126535947,True,10.998500859253104,0.0003029599770822081,True,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_buggy_rescue_guard_seed456_early_logs.json
ag_news,large-6,fixed_order_with_guard,42,8.734640537108554e-08,8.734640537108554e-08,1.0,0.0,False,9.61532820572548e-07,0.0003029599770822081,False,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_large-6_fixed_order_with_guard_seed42_early_logs.json
